timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-17 18:07:03,Turkish alphabet wood blocks made of natural ash wood English Russian Turkish German Punjabi Danish and lots of other sets of alphabet blocks available in our etsy shop httpstcoapluZMw7WN nursery ABC woodtoys toys kids httpstcoPWwM5XsPiB,boon_wood,"[u'alphabet', u'wood', u'etsy', u'nursery', u'ABC', u'woodtoys', u'toys', u'kids']",1201
2020-02-17 18:05:22,Alphabet earnings show Google Cloud on 10B run rate  Alphabet Google Cloud  httpstcohMEeE1R2dJ,firststopit,"[u'Alphabet', u'Google', u'Cloud']",188
2020-02-17 17:48:02,How Alphabet’s X Division Unleashes Creativity on Global Problems by FastCompany httpstcoIhl7gztvhR   Astro Teller the head of X reflects on 10 years of work on projects such as internetbeaming balloons and sterilizing mosquitoes — and some even crazier ideas Alphabet httpstco0t6zYV9Sab,HerbRjR,[u'Alphabet'],297
2020-02-17 17:43:05,🔍Marketers are panicking over Googles plan to yank cookies from advertising httpstcoKSe6UA4cmm google GOOG GOOGL alphabet TechNews tech google digitaltransformation httpstcogsYmnsOOWU,sjoerdapp,"[u'google', u'alphabet', u'TechNews', u'tech', u'digitaltransformation']",1988
2020-02-17 17:39:09,Happy Presidents Day 2020  httpstcoWx9JbzVHZX Presidentsday alanthewrench workington welcometoworkington childrensbook kids picturebook toys learning reading school alphabet tool kindergarten elementaryschool nurseryschool book books author cartoons httpstcoArk9Z6x1R1,AlanTheWrench1,"[u'Presidentsday', u'alanthewrench', u'workington', u'welcometoworkington', u'childrensbook', u'kids', u'picturebook', u'toys', u'learning', u'reading', u'school', u'alphabet', u'tool', u'kindergarten', u'elementaryschool', u'nurseryschool', u'book', u'books', u'author', u'cartoons']",38
2020-02-17 17:12:31,📊Watch a 50second overview of the latest market insights by NAGA market analyst Antony Kinnis  📲Keep up with NAGA overviews to make a profit at httpstco3EOAy5D6Bm  copytrading autocopy copytrade copytraders socialtrading traders markets marketnews alphabet httpstco4585scGDYj,nagainvesting,"[u'copytrading', u'autocopy', u'copytrade', u'copytraders', u'socialtrading', u'traders', u'markets', u'marketnews', u'alphabet']",9512
2020-02-17 16:43:25,🔍Pay Up or We’ll Make Google Ban Your Ads httpstcokH4tbPO5Af google GOOG GOOGL alphabet TechNews tech google digitaltransformation httpstco5lP8lEy5pZ,sjoerdapp,"[u'google', u'alphabet', u'TechNews', u'tech', u'digitaltransformation']",1988
2020-02-17 16:10:11,FTC turns up antitrust heat on BigTech  The FTC will require the top five US technology firms— Alphabet Inc Google Amazon Apple Facebook and Microsoft—to provide information on acquisitions not previously reported to the agency dating back 10 years httpstco6VnOGvevD1,PRHoldingsGroup,"[u'FTC', u'antitrust', u'BigTech', u'US', u'technology', u'Alphabet', u'Google', u'Amazon', u'Apple', u'Facebook', u'Microsoft', u'agency']",1
2020-02-17 16:10:08,How to write the letter n httpstcodmBiBttNGV Learningmole homeschooling education alphabet letters kids,LearningMole,"[u'alphabet', u'letters']",2435
2020-02-17 15:52:34,My most beloved places are Cuba Costa Rica and California My most craved flavors are coffee caramel and chocolate I seem to have an affinity for the letter C Do you have an alphabetic favorite alphabet,margaritapoet,[u'alphabet'],4963
2020-02-17 15:02:14,Lovely crossstitch  CountryGraphs CrossStitchPattern CountryThemes Chicken Clothesline Antiquephone CrossStitchChart FarmHouse Alphabet httpstcolL8pjVXm89 via Etsy 2FunatEtsy FreeShipping Sale,2FunatEtsy,"[u'CountryGraphs', u'CrossStitchPattern', u'CountryThemes', u'Chicken', u'Clothesline', u'Antiquephone', u'CrossStitchChart', u'FarmHouse', u'Alphabet', u'FreeShipping', u'Sale']",1626
2020-02-17 14:48:02,Kids Videos httpstcog50EOARiYm via flipboard Flipboard kidsmusic childrensmusic kids family toddlers preschool preschoolers preschoolsongs alphabet counting httpstcoKdWtz630MJ,EnergyDepDay,"[u'Flipboard', u'kidsmusic', u'childrensmusic', u'kids', u'family', u'toddlers', u'preschool', u'preschoolers', u'preschoolsongs', u'alphabet', u'counting']",5401
2020-02-17 14:36:13,Print your chart with the Stitchpoint Cross Stitch Writer and make that personal cross stitch sampler alphabet hoopart lettering quote  Use it for free httpstcoPZbDVEQZiT  xstitch xst stitching kruissteek kreuzstitch pointdecroix hoopart httpstcodGr2oAscSF,stitchpoint,"[u'alphabet', u'hoopart', u'lettering', u'quote', u'xstitch', u'xst', u'stitching', u'kruissteek', u'kreuzstitch', u'pointdecroix', u'hoopart']",416
2020-02-17 12:56:36,alphabet Amazon apple elonmusk Tesla Stock Is Rising Above 800 After Hours Elon Musk Is Expanding Solar Roof Team httpstcosnxaN7xIU7 httpstcoUzVPsgwiR5,crypto_bittrail,"[u'alphabet', u'Amazon', u'apple', u'elonmusk']",2122
2020-02-17 12:40:40,This Alphabetowned company tested a kite that can generate electricity⚡as it flies QuickTake  Renewables Sustainability Google Innovation alvinfoo chboursin mvollmer1 NevilleGaunt JoannMoretti AkwyZ Fabriziobustama kalydeoo sarbjeetjohal DigitalColmer robvank httpstcoqh6eJpkm8h,FrRonconi,"[u'Alphabet', u'Renewables', u'Sustainability', u'Google', u'Innovation']",16879
2020-02-17 12:16:07,🗓Check out NAGAs bestperforming traders of the day   Copy the best traders to win every trade at httpstco3EOAy5D6Bm  copytrading autocopy copytrade copytraders socialtrading traders markets marketnews alphabet apple stocks httpstcoTGQsLgvibz,nagainvesting,"[u'copytrading', u'autocopy', u'copytrade', u'copytraders', u'socialtrading', u'traders', u'markets', u'marketnews', u'alphabet', u'apple', u'stocks']",9512
2020-02-17 11:32:12,Id love to get my students to do something like this  Any recommendations for childfriendly image editing appsprograms  edtech Grade2 PLN photography alphabet httpstcogUDO3tKySQ,mradamwhiteman,"[u'edtech', u'Grade2', u'PLN', u'photography', u'alphabet']",403
2020-02-17 10:37:35,Did the ‘techlash’ kill Alphabet’s city of the future httpstcoRR4G7v35Yg httpstcoh0VA1QcVoK,realizetoday,[u'Alphabet'],1030
2020-02-17 09:02:28,Fact  GoogleIsNotYourFriend Alphabet  FollowTheWhiteRabbit into TheGreatAwakening where our QAnon QArmy must QuestionTheNarrative to bring DarkToLight  FinishingWhatJFKStarted is to DrainTheDeepStateSwamp during TheStorm  TrustThePlan EnjoyTheShow WWG1WGA httpstcoA9YJCX16BG,WozzaNoski,"[u'GoogleIsNotYourFriend', u'Alphabet', u'FollowTheWhiteRabbit', u'TheGreatAwakening', u'QAnon', u'QArmy', u'QuestionTheNarrative', u'DarkToLight', u'FinishingWhatJFKStarted', u'DrainTheDeepStateSwamp', u'TheStorm', u'TrustThePlan', u'EnjoyTheShow', u'WWG1WGA']",1498
2020-02-17 08:33:07,neon neon right rain alphabet httpstcoEPUszhbr5v httpstcoy79T6gBvG6,takuroyamasaki,"[u'neon', u'right', u'rain', u'alphabet']",8
2020-02-17 07:43:43,Grab a bargain  letter A in mustard and navy with slight damage nurserydecor alphabet  httpstcoLsXhoJ4aBE httpstcobTndRxZ6ry,fridaystreetpr1,"[u'nurserydecor', u'alphabet']",75
2020-02-17 06:53:39,Kobe Bryant honoured with stirring tribute at NBA AllStar Game alphabet abc australia abcaustralia Property PropertyInvestment DavidQuinn httpstcoTplrEw3sR0,HelpMeBuyMyHom1,"[u'alphabet', u'abc', u'australia', u'abcaustralia', u'Property', u'PropertyInvestment', u'DavidQuinn']",2
2020-02-17 06:49:04,SS Monogram Logo concept  httpstcowYDJOleNvC via insprade inspirationde Alphabet Branding Creative Identity LogoDesign httpstcosvq9yxcQgE,insprade,"[u'Monogram', u'Logo', u'inspirationde', u'Alphabet', u'Branding', u'Creative', u'Identity', u'LogoDesign']",2185
